,Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename,Latitude,Longtitude,Typenum,Dong,Challenge,Totalscore
413,은빛회포차,4.0,4,3,https://place.map.kakao.com/983033146,서울 노원구 석계로3길 8,월계동 63-10,회,37.6158099,127.0642208,0,B,0,20.8
430,진미통닭,4.0,4,2,https://place.map.kakao.com/2091088647,서울 노원구 광운로 45,월계동 393-1,치킨,37.6214621,127.0590116,0,B,0,20.8
304,화로상회,3.3,8,12,https://place.map.kakao.com/27503771,서울 노원구 광운로 37,월계동 402-11,"육류,고기",37.6207876,127.0586112,0,B,0,19.8
350,태백마루,3.6,5,15,https://place.map.kakao.com/19176066,서울 노원구 화랑로 349 2층,월계동 26-13,닭요리,37.6153327,127.0666576,0,B,0,19.8
394,더원,3.6,5,11,https://place.map.kakao.com/152856273,서울 노원구 광운로 61,월계동 383-21,중식,37.6229034,127.0597592,1,B,0,19.8
410,최대포소금구이,3.3,8,9,https://place.map.kakao.com/16442113,서울 노원구 석계로7길 14,월계동 68-28,"육류,고기",37.6163157,127.0635745,0,B,0,19.8
315,마루국시,3.1,8,5,https://place.map.kakao.com/11741047,서울 노원구 월계로55길 64 1층,월계동 320-4,한정식,37.633906,127.0596535,0,B,0,18.6
419,공차 광운대점,3.1,8,4,https://place.map.kakao.com/1483893178,서울 노원구 광운로 20 80주년 기념관 지하1층 내 복지매장,월계동 447-1,카페,37.6194277,127.05982,4,B,0,18.6
401,노랑통닭 석계역점,3.0,8,8,https://place.map.kakao.com/27430275,서울 노원구 석계로 12-1,월계동 61-9,치킨,37.6159191,127.0645876,0,B,0,18.0
320,카페거실,3.4,7,20,https://place.map.kakao.com/1907430050,서울 노원구 화랑로47길 9,월계동 26-23,커피전문점,37.6157063,127.0666166,4,B,0,17.85
393,곤지암할매소머리국밥&순대국 본점,3.4,7,0,https://place.map.kakao.com/102346965,서울 노원구 월계로 338 상가 A동 101호,월계동 942,국밥,37.6290993,127.0586774,0,B,0,17.85
375,백채김치찌개 석계점,3.3,7,13,https://place.map.kakao.com/27441093,서울 노원구 석계로3길 17,월계동 55-8,"찌개,전골",37.6158483,127.0636041,0,B,0,17.325
357,빽다방 광운대점,4.3,3,4,https://place.map.kakao.com/27094505,서울 노원구 광운로 43 로얄포토빌딩 1층,월계동 393-14,커피전문점,37.6213106,127.0590011,4,B,0,16.77
391,석계3층집,4.3,3,5,https://place.map.kakao.com/26853973,서울 노원구 석계로 21 3층,월계동 68-20,오리,37.6166236,127.0641121,0,B,0,16.77
399,노원골제주흑돼지 2호점,4.3,3,13,https://place.map.kakao.com/733033915,서울 노원구 석계로 19,월계동 68-66,"육류,고기",37.616466,127.064122,0,B,0,16.77
427,신전떡볶이 광운대점,3.0,7,3,https://place.map.kakao.com/27232145,서울 노원구 광운로 52 1층,월계동 409-16,떡볶이,37.6218638,127.0596658,0,B,0,15.75
328,마시써머거바,4.0,3,12,https://place.map.kakao.com/914234380,0,월계동 46-3,토스트,37.6148558,127.0650279,0,B,0,15.6
346,군자대한곱창 석계역점,5.0,2,25,https://place.map.kakao.com/125798933,서울 노원구 석계로 14-1 1층,월계동 64-12,"곱창,막창",37.6161232,127.064525,0,B,0,15.0
369,스타벅스 월계트레이더스점,5.0,2,7,https://place.map.kakao.com/780657144,서울 노원구 마들로3길 17,월계동 333-1,커피전문점,37.62644,127.0619091,4,B,0,15.0
380,옥남집,5.0,2,3,https://place.map.kakao.com/27524740,서울 노원구 광운로 68,월계동 379-43,한정식,37.6232768,127.0602564,0,B,0,15.0
387,어반,5.0,2,11,https://place.map.kakao.com/685806660,서울 노원구 석계로3길 11 2층,월계동 55-13,"호프,요리주점",37.6157066,127.0639174,5,B,0,15.0
407,이삭토스트 석계역점,5.0,2,2,https://place.map.kakao.com/1790780715,서울 노원구 석계로3길 21 1층,월계동 55-7,토스트,37.6159311,127.0634887,0,B,0,15.0
423,꽃제비칼국수,5.0,2,3,https://place.map.kakao.com/16297377,서울 노원구 광운로12길 13,월계동 407-16,국수,37.6212654,127.0598852,0,B,0,15.0
428,대명왕십리곱창,5.0,2,5,https://place.map.kakao.com/16502776,서울 노원구 석계로 18,월계동 64-9,"곱창,막창",37.61639359999999,127.0644332,0,B,0,15.0
440,임자구포국수,5.0,2,5,https://place.map.kakao.com/22137056,서울 노원구 월계로 370 희성프라자 1층 122호,월계동 321-2,국수,37.6308761,127.0610421,0,B,0,15.0
446,이삭토스트 광운대점,5.0,2,0,https://place.map.kakao.com/20748760,서울 노원구 석계로13길 23,월계동 429-6,토스트,37.6201758,127.0615516,0,B,0,15.0
449,달렉스,5.0,2,6,https://place.map.kakao.com/1139833679,서울 노원구 초안산로2라길 19-20 1층,월계동 274-34,커피전문점,37.6317619,127.0578961,4,B,0,15.0
432,서향,3.3,6,1,https://place.map.kakao.com/9163543,서울 노원구 석계로 95,월계동 411-53,중화요리,37.6229119,127.0611616,1,B,0,14.85
326,장군숯불족발,4.5,2,19,https://place.map.kakao.com/8073706,서울 노원구 화랑로43가길 27,월계동 51-6,"족발,보쌈",37.615009,127.0632182,0,B,0,13.5
364,엘가커피 석계점,3.0,6,7,https://place.map.kakao.com/24693403,서울 노원구 석계로1길 22,월계동 54-1,카페,37.6155313,127.0633986,4,B,0,13.5
