,Name,Score,Numberofscore,Review,Link,Addr,lat,lng
110,르다,4.7,7,73,https://place.map.kakao.com/1764989514,"
서울 노원구 상계로9길 28
(지번) 상계동 396-6
",37.6582329,127.0665605
111,대머리곱창 노원점,2.7,16,30,https://place.map.kakao.com/16057023,"
서울 노원구 상계로1길 62-4
(지번) 상계동 581-55
",37.6587254,127.0616424
112,빛나는바다 수락산점,2.4,11,14,https://place.map.kakao.com/21574389,"
서울 노원구 동일로230가길 84
(지번) 상계동 1120-44
",37.6751769,127.056741
113,주가네서서갈비 본점,5.0,2,18,https://place.map.kakao.com/16051406,"
서울 노원구 노해로85길 22
(지번) 상계동 348-2
",37.6563599,127.065131
114,어장촌생선구이,4.0,8,7,https://place.map.kakao.com/20028584,"
서울 노원구 노해로75길 14-17
(지번) 상계동 707
",37.6546268,127.0582839
115,짚신매운갈비찜 노원점,2.1,7,29,https://place.map.kakao.com/16531943,"
서울 노원구 노해로85길 18
(지번) 상계동 341-2
",37.6562115,127.0651567
116,역전할머니맥주 서울노원역점,1.8,14,18,https://place.map.kakao.com/1648050966,"
서울 노원구 노해로81길 16 1층
(지번) 상계동 616-4
",37.6555573,127.0628801
117,신고집찜칼국수 상계점,5.0,4,2,https://place.map.kakao.com/827764719,"
서울 노원구 한글비석로 424
(지번) 상계동 169-77
",37.6621157,127.0701422
118,오케이크 노원점,5.0,4,9,https://place.map.kakao.com/1920877338,"
서울 노원구 상계로3길 16 동원빌딩 1층 103호
(지번) 상계동 593-2
",37.6569543,127.0624784
119,백두한우곱창전문 노원점,2.6,9,30,https://place.map.kakao.com/22675486,"
서울 노원구 상계로 92
(지번) 상계동 348-30
",37.6565174,127.0651007
120,금강산 상계점,0.0,0,44,https://place.map.kakao.com/339865073,"
서울 노원구 동일로 1630 1층
(지번) 상계동 1025-24
",37.6739232,127.0557944
121,신화주꾸미,4.0,4,25,https://place.map.kakao.com/14527395,"
서울 노원구 동일로 1355 상계주공2단지 상가 1층
(지번) 상계동 746-5
",37.650402,127.057054
122,화덕피자주는부대찌개 노원점,3.1,7,24,https://place.map.kakao.com/26838989,"
서울 노원구 상계로 59 2층
(지번) 상계동 693-4
",37.6561445,127.061489
123,하토상의술방,2.3,3,44,https://place.map.kakao.com/1332590568,"
서울 노원구 상계로3길 10 한일빌딩 2층
(지번) 상계동 593-3
",37.6566575,127.0625433
124,커피나무 노원역점,3.3,8,6,https://place.map.kakao.com/919057129,"
서울 노원구 상계로1길 14-11
(지번) 상계동 603-2
",37.65701790000001,127.0617489
125,투썸플레이스 상계사거리점,2.3,10,5,https://place.map.kakao.com/1989237181,"
서울 노원구 동일로 1374 2층
(지번) 상계동 749
",37.6512657,127.0617521
126,시오코 노원점,3.1,7,16,https://place.map.kakao.com/20373658,"
서울 노원구 상계로5길 26 지하1층
(지번) 상계동 357-8
",37.6570766,127.0632419
127,쉐이크쉑 노원점,3.7,9,72,https://place.map.kakao.com/1429439886,"
서울 노원구 동일로 1414 1층
(지번) 상계동 713
",37.6552207,127.0612826
128,미스터아구,2.6,10,17,https://place.map.kakao.com/9205614,"
서울 노원구 덕릉로 744
(지번) 상계동 95-180
",37.6638293,127.0765508
129,커피빈 노원역점,4.2,5,10,https://place.map.kakao.com/1321281310,"
서울 노원구 노해로 490 길빌딩 2층
(지번) 상계동 724-1
",37.6543867,127.062431
130,북경,3.8,5,10,https://place.map.kakao.com/376023893,"
서울 노원구 동일로217가길 13 광일빌딩 2층 202호
(지번) 상계동 733-1
",37.6533428,127.0596249
131,타코비엔나,4.9,7,22,https://place.map.kakao.com/18723311,"
서울 노원구 상계로1길 38-11
(지번) 상계동 591-2
",37.6579356,127.0620399
132,야채곱창춘천집닭갈비,3.2,16,19,https://place.map.kakao.com/15349377,"
서울 노원구 동일로245길 1
(지번) 상계1동 1132-11
",37.6785455,127.0549071
133,대원집,3.0,5,17,https://place.map.kakao.com/16499980,"
서울 노원구 노해로85길 10-17
(지번) 상계동 323-1
",37.6561426,127.0660234
134,등촌샤브칼국수 노원점,4.7,6,52,https://place.map.kakao.com/360133586,"
서울 노원구 동일로218길 17 2층
(지번) 상계동 726-1
",37.6538373,127.0617571
135,산채향,2.6,5,1,https://place.map.kakao.com/1799582622,"
서울 노원구 노해로77길 22 2층
(지번) 상계동 711-9
",37.655157,127.0593402
