Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename
써브웨이 광운대역점,2.0,6,7,https://place.map.kakao.com/2024470096,서울 노원구 광운로 57,월계동 383-16,샌드위치
BHC치킨 월계스타점,4.0,4,1,https://place.map.kakao.com/1219738630,서울 노원구 초안산로2라길 19 201호,월계동 274-46,치킨
백채김치찌개 석계점,3.3,7,13,https://place.map.kakao.com/27441093,서울 노원구 석계로3길 17,월계동 55-8,"찌개,전골"
메가커피 석계역점,1.7,7,1,https://place.map.kakao.com/931744501,서울 노원구 화랑로 337 1층 103호,월계동 46-1,커피전문점
윤스쿡,4.8,18,14,https://place.map.kakao.com/2123663334,서울 노원구 광운로 29 2층,월계동 465-10,"돈까스,우동"
교촌치킨 석계역점,1.7,13,4,https://place.map.kakao.com/16051747,서울 노원구 석계로 31,월계동 73-13,치킨
커피나무,2.9,11,0,https://place.map.kakao.com/1030306506,서울 노원구 화랑로 325,월계동 50,커피전문점
옥남집,5.0,2,3,https://place.map.kakao.com/27524740,서울 노원구 광운로 68,월계동 379-43,한정식
디델리 광운대점,3.0,5,11,https://place.map.kakao.com/16081384,서울 노원구 광운로 31,월계동 465-9,분식
배스킨라빈스 석계점,3.0,5,4,https://place.map.kakao.com/26794261,서울 노원구 석계로1길 10,월계동 58-2,아이스크림
장수국수,1.0,1,17,https://place.map.kakao.com/24997619,서울 노원구 광운로 27,월계동 465-11,국수
청계천8가삼성곱창,4.8,4,4,https://place.map.kakao.com/374001076,서울 노원구 석계로3길 32,월계동 68-27,"곱창,막창"
향원,4.1,10,1,https://place.map.kakao.com/19032295,서울 노원구 석계로 27,월계동 73-17,중화요리
치킨에꼬치다,3.7,3,6,https://place.map.kakao.com/1036609254,서울 노원구 석계로 12 1층,월계동 61-10,치킨
어반,5.0,2,11,https://place.map.kakao.com/685806660,서울 노원구 석계로3길 11 2층,월계동 55-13,"호프,요리주점"
미식성,4.0,4,1,https://place.map.kakao.com/9443559,서울 노원구 광운로 9,월계동 469-16,중화요리
