Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename
짚신매운갈비찜 노원점,2.3,6,28,https://place.map.kakao.com/16531943,서울 노원구 노해로85길 18,상계동 341-2,갈비
신고집찜칼국수 상계점,5.0,4,2,https://place.map.kakao.com/827764719,서울 노원구 한글비석로 424,상계동 169-77,한식
역전할머니맥주 서울노원역점,1.8,14,19,https://place.map.kakao.com/1648050966,서울 노원구 노해로81길 16 1층,상계동 616-4,"호프,요리주점"
빛나는바다 수락산점,2.4,11,14,https://place.map.kakao.com/21574389,서울 노원구 동일로230가길 84,상계동 1120-44,회
투썸플레이스 상계사거리점,2.3,10,5,https://place.map.kakao.com/1989237181,서울 노원구 동일로 1374 2층,상계동 749,커피전문점
시오코 노원점,3.1,7,15,https://place.map.kakao.com/20373658,서울 노원구 상계로5길 26 지하1층,상계동 357-8,"호프,요리주점"
금강산 상계점,0.0,0,44,https://place.map.kakao.com/339865073,서울 노원구 동일로 1630 1층,상계동 1025-24,"육류,고기"
하토상의술방,2.3,3,38,https://place.map.kakao.com/1332590568,서울 노원구 상계로3길 10 한일빌딩 2층,상계동 593-3,일본식주점
디저트식탁,4.4,7,61,https://place.map.kakao.com/1927286862,서울 노원구 상계로1길 14-29 2층,상계동 602-8,디저트카페
커피빈 노원역점,4.2,5,12,https://place.map.kakao.com/1321281310,서울 노원구 노해로 490 길빌딩 2층,상계동 724-1,커피전문점
화덕피자주는부대찌개 노원점,3.1,7,23,https://place.map.kakao.com/26838989,서울 노원구 상계로 59 2층,상계동 693-4,"찌개,전골"
커피나무 노원역점,3.0,9,6,https://place.map.kakao.com/919057129,서울 노원구 상계로1길 14-11,상계동 603-2,카페
야채곱창춘천집닭갈비,3.2,16,18,https://place.map.kakao.com/15349377,서울 노원구 동일로245길 1,상계1동 1132-11,닭요리
대원집,3.0,5,17,https://place.map.kakao.com/16499980,서울 노원구 노해로85길 10-17,상계동 323-1,"육류,고기"
등촌샤브칼국수 노원점,4.7,6,50,https://place.map.kakao.com/360133586,서울 노원구 동일로218길 17 2층,상계동 726-1,샤브샤브
쉐이크쉑 노원점,3.8,10,75,https://place.map.kakao.com/1429439886,서울 노원구 동일로 1414 1층,상계동 713,패스트푸드
북경,3.3,6,10,https://place.map.kakao.com/376023893,서울 노원구 동일로217가길 13 광일빌딩 2층 202호,상계동 733-1,중화요리
명동칼국수,2.5,6,24,https://place.map.kakao.com/1351485177,서울 노원구 상계로 93 경일빌딩 1층,상계동 349-51,국수
백두한우곱창전문 노원점,2.6,9,28,https://place.map.kakao.com/22675486,서울 노원구 상계로 92,상계동 348-30,"곱창,막창"
마들카페,4.7,7,9,https://place.map.kakao.com/1563180510,서울 노원구 한글비석로 530 유치원상가 1층,상계동 648,카페
미스터아구,2.6,10,17,https://place.map.kakao.com/9205614,서울 노원구 덕릉로 744,상계동 95-180,아구
서가앤쿡 서울노원점,2.6,14,64,https://place.map.kakao.com/20026450,서울 노원구 상계로 64 지하1층,상계동 617,양식
참치박사 2호점,4.6,10,6,https://place.map.kakao.com/10771043,서울 노원구 노해로81길 12-33,상계2동 332-4,참치회
구석집 노원1호점,3.8,6,19,https://place.map.kakao.com/1674479148,서울 노원구 상계로1길 62-10 1층,상계동 581-53,"해물,생선"
파라솔분식,3.8,6,21,https://place.map.kakao.com/16621788,서울 노원구 상계로1길 14-17 1층,상계동 603-1,떡볶이
타코비엔나,4.9,7,22,https://place.map.kakao.com/18723311,서울 노원구 상계로1길 38-11,상계동 591-2,일본식주점
산채향,2.6,5,1,https://place.map.kakao.com/1799582622,서울 노원구 노해로77길 22 2층,상계동 711-9,한정식
신닭발닭날개,4.9,9,32,https://place.map.kakao.com/25160901,서울 노원구 상계로3길 38-4 101호,상계동 592-2,닭요리
문지원의 열정스시,3.8,19,24,https://place.map.kakao.com/1179763443,서울 노원구 한글비석로 459 한보빌딩 1층,상계동 449-8,"초밥,롤"
다마식당 노원점,2.9,8,69,https://place.map.kakao.com/22079801,서울 노원구 상계로5길 31 보광빌딩 1층,상계동 594-2,"육류,고기"
절구시래기 직영1호점,3.5,15,3,https://place.map.kakao.com/2070031976,서울 노원구 동일로242길 123,상계동 1002-2,한식
삼시세끼 고기밥상 수락점,5.0,2,14,https://place.map.kakao.com/414125070,서울 노원구 동일로242길 17 2층,상계동 1120-1,한식
수락산풍천장어,3.5,6,121,https://place.map.kakao.com/1786457675,서울 노원구 동일로242길 48 다온빌딩 1층,상계동 1008-20,장어
여자만아구찜,4.0,2,10,https://place.map.kakao.com/1740141070,서울 노원구 동일로239길 10,상계동 1049-10,아구
